%KF,time_period,x,y,z,qx,qy,qz,qw
4,2,-5.466714859008789,8.086627960205078,0.8771287202835083,-0.03427528962492943,-0.05484507977962494,0.9950017929077148,-0.07608292251825333
4,3,5.603174209594727,-9.164802551269531,-0.9552464485168457,-0.001661225454881787,-0.01378367003053427,0.01340380776673555,0.9998137950897217
4,4,4.98438835144043,-8.060678482055664,-0.9333910942077637,0.01342604029923677,0.0139711843803525,-0.07548858225345612,0.9969583749771118
4,5,-0.1952457427978516,0.3983554840087891,0.02801322937011719,-0.03889064490795135,-0.004250557627528906,0.9947039484977722,0.09504510462284088
%KF,time_period,x,y,z,qx,qy,qz,qw
4,2,0,0,0,0,0,0,1
4,3,-7.463386535644531,18.93896865844727,-0.4886002540588379,-0.0257289707660675,-0.05992288514971733,0.9956733584403992,0.06619558483362198
4,4,-7.426275253295898,18.87386322021484,-0.9347186088562012,-0.04589468240737915,-0.04258555173873901,0.984951913356781,0.1610898375511169
4,5,-4.078177452087402,8.205068588256836,-0.06214046478271484,0.06192748993635178,0.007548605091869831,-0.1682531982660294,0.9837676882743835
%KF,time_period,x,y,z,qx,qy,qz,qw
4,3,0,0,0,0,0,0,1
4,4,-0.4584751129150391,0.8619461059570312,0.01502060890197754,0.01791432499885559,0.02462461777031422,-0.09018487483263016,0.9954594373703003
4,5,-5.552333831787109,9.732982635498047,1.28040087223053,-0.02346098981797695,6.900495645822957e-05,0.9936851859092712,0.1097242087125778
%KF,time_period,x,y,z,qx,qy,qz,qw
4,4,0,0,0,0,0,0,1
4,5,-7.338449478149414,7.309593200683594,0.7760472297668457,-0.05146679654717445,0.009981757029891014,0.9982064366340637,0.02890539914369583
%KF,time_period,x,y,z,qx,qy,qz,qw
3,0,0,0,0,0,0,0,1
4,0,-16.26181221008301,9.450931549072266,1.258343577384949,-0.0185367576777935,0.0001808218803489581,-0.04703957960009575,0.9987210035324097
%KF,time_period,x,y,z,qx,qy,qz,qw
3,1,0,0,0,0,0,0,1
4,1,-14.90654850006104,22.92495346069336,1.302020192146301,-0.02262311056256294,0.0080217020586133,-0.0256535280495882,0.9993826746940613
%KF,time_period,x,y,z,qx,qy,qz,qw
3,2,0,0,0,0,0,0,1
4,2,0.07409191131591797,0.0004396438598632812,0.01545000076293945,0.0005600821459665895,-0.0009510380914434791,0.0007653115899302065,0.9999991059303284
%KF,time_period,x,y,z,qx,qy,qz,qw
3,3,0,0,0,0,0,0,1
4,3,-10.98561096191406,16.47907447814941,1.270151138305664,-0.01480654440820217,0.008680310100317001,-0.01238917745649815,0.9997760057449341
%KF,time_period,x,y,z,qx,qy,qz,qw
3,4,0,0,0,0,0,0,1
4,4,-20.24184226989746,20.41227149963379,1.679930210113525,-0.001373513136059046,0.02357349917292595,-0.03859696909785271,0.9989758133888245
%KF,time_period,x,y,z,qx,qy,qz,qw
3,5,0,0,0,0,0,0,1
4,5,10.5070972442627,-11.72292137145996,1.302467823028564,0.01942601427435875,0.0164476502686739,-0.03640274330973625,0.9990130066871643
%KF,time_period,x,y,z,qx,qy,qz,qw
5,0,0,0,0,0,0,0,1
5,1,30.98518371582031,-3.980541229248047,2.597529172897339,0.03838647529482841,-0.06308761984109879,0.4481603503227234,0.8908977508544922
5,2,-3.755794525146484,1.761267423629761,0.3898689746856689,0.01741287112236023,-0.04709607735276222,0.9244700074195862,-0.3779339194297791
5,3,-4.158401489257812,-27.07636642456055,-3.060739994049072,-0.08026409149169922,-0.04091980308294296,0.4662176370620728,0.880070686340332
5,4,-1.060016632080078,-0.2572722434997559,0.0002402663230895996,0.001121638459153473,0.004452857188880444,0.184246838092804,0.9828692674636841
5,5,-5.511234283447266,1.584855318069458,0.2948812246322632,0.0006845441530458629,-0.00335385836660862,0.9981805682182312,-0.06019849330186844
%KF,time_period,x,y,z,qx,qy,qz,qw
5,1,0,0,0,0,0,0,1
5,2,2.456760406494141,-3.915788650512695,-0.2005143165588379,-0.005160341039299965,-0.02681425958871841,0.9942397475242615,-0.1036421805620193
5,3,1.753982543945312,-3.659313201904297,-0.1722049713134766,-0.02651964128017426,-0.02039460651576519,0.003563717938959599,0.9994338750839233
5,4,3.875118255615234,-7.223590850830078,-0.5919184684753418,-0.01446753926575184,-0.009857554920017719,-0.09650850296020508,0.99517822265625
5,5,-4.686758041381836,5.782749176025391,0.3662986755371094,-0.02927869744598866,0.01977040618658066,0.9873380661010742,0.1546461284160614
%KF,time_period,x,y,z,qx,qy,qz,qw
5,2,0,0,0,0,0,0,1
5,3,0.1943073272705078,-0.1624565124511719,-0.03762912750244141,0.004340620245784521,-0.05685211345553398,0.9930157661437988,0.1032897457480431
5,4,-0.8763675689697266,3.707292556762695,-0.06643486022949219,0.00433825422078371,-0.04577704519033432,0.978458046913147,0.2012597173452377
5,5,4.442668914794922,-11.02311134338379,0.3162589073181152,0.04926349595189095,0.02944235503673553,-0.2540559768676758,0.9654852747917175
%KF,time_period,x,y,z,qx,qy,qz,qw
5,3,0,0,0,0,0,0,1
5,4,1.905263900756836,-3.497955322265625,-0.5568604469299316,0.007530748844146729,0.01341541483998299,-0.1006194278597832,0.9948060512542725
5,5,-12.73202896118164,4.596511840820312,0.8091387748718262,-0.001568002626299858,-0.005378811154514551,0.9769274592399597,0.2134978473186493
%KF,time_period,x,y,z,qx,qy,qz,qw
5,4,0,0,0,0,0,0,1
5,5,-0.8579368591308594,11.53327465057373,2.638765811920166,-0.01860173232853413,0.03508735448122025,0.9984789490699768,0.03824543952941895
%KF,time_period,x,y,z,qx,qy,qz,qw
4,0,0,0,0,0,0,0,1
5,0,-15.24186325073242,6.763635635375977,1.857886433601379,-0.002771028317511082,0.003683001035824418,0.01090382691472769,0.9999299645423889
%KF,time_period,x,y,z,qx,qy,qz,qw
4,1,0,0,0,0,0,0,1
5,1,-8.559467315673828,13.68350219726562,1.484118461608887,0.02047082036733627,-0.002453622408211231,0.01607207022607327,0.9996582269668579
%KF,time_period,x,y,z,qx,qy,qz,qw
4,2,0,0,0,0,0,0,1
5,2,0.3104362487792969,-1.950761795043945,0.1147510409355164,0.004581575281918049,-0.02853479981422424,0.04560136795043945,0.9985415935516357
%KF,time_period,x,y,z,qx,qy,qz,qw
4,3,0,0,0,0,0,0,1
5,3,-11.44443511962891,19.43980407714844,2.500200033187866,-0.004844500683248043,-0.008854075334966183,0.007067538797855377,0.9999241232872009
%KF,time_period,x,y,z,qx,qy,qz,qw
4,4,0,0,0,0,0,0,1
5,4,-2.659677505493164,23.98242950439453,2.942298412322998,-0.06432458758354187,-0.01590468175709248,0.07038600742816925,0.9953166246414185
%KF,time_period,x,y,z,qx,qy,qz,qw
4,5,0,0,0,0,0,0,1
5,5,15.30925464630127,-16.19850158691406,3.062706232070923,0.00659274123609066,-0.01029453985393047,-0.05139758810400963,0.9986034631729126
%KF,time_period,x,y,z,qx,qy,qz,qw
6,0,0,0,0,0,0,0,1
6,1,3.048198699951172,-0.1791237592697144,-0.6421536207199097,0.005565103609114885,0.0230206735432148,0.2514359354972839,0.9675841331481934
6,2,-3.373706817626953,1.169718503952026,0.1851044297218323,-0.003290457418188453,-0.00257394602522254,0.9246253967285156,-0.380854994058609
6,3,-5.001106262207031,1.349295258522034,0.3642990589141846,0.001201501814648509,0.005388050805777311,0.3028101623058319,0.9530349373817444
6,4,-3.765789031982422,1.223920822143555,0.1619859337806702,-0.01783509366214275,0.02402010187506676,0.1914377361536026,0.9810487031936646
6,5,-15.01864624023438,4.50323486328125,1.168049335479736,-0.001564945210702717,0.01642304472625256,0.9938492774963379,-0.1095054298639297
%KF,time_period,x,y,z,qx,qy,qz,qw
6,1,0,0,0,0,0,0,1
6,2,0.3884658813476562,-0.6833648681640625,0.04522156715393066,-0.02061761729419231,-0.0019710015039891,0.9951115846633911,-0.09656128287315369
6,3,-0.9682540893554688,0.5930385589599609,0.2153053283691406,0.00170564535073936,-0.01071187667548656,0.01428840681910515,0.9998390674591064
6,4,-0.04933547973632812,-0.5250473022460938,0.1963974237442017,-0.007561434991657734,0.01068303175270557,-0.1011462360620499,0.994785487651825
6,5,0.9561042785644531,7.070457458496094,1.299585342407227,-0.0180636290460825,0.003514783224090934,0.9856317043304443,0.1679035574197769
%KF,time_period,x,y,z,qx,qy,qz,qw
6,2,0,0,0,0,0,0,1
6,3,1.129816055297852,-1.617275238037109,0.1587385535240173,-0.009936877526342869,0.00206358265131712,0.9968972206115723,0.07805724442005157
6,4,-0.6066970825195312,0.1016368865966797,-0.4427323937416077,-0.0386243648827076,-0.003755711251869798,0.9803408980369568,0.1934575140476227
6,5,-0.3284645080566406,-6.787172317504883,0.7528493404388428,0.01598403789103031,-0.01124644372612238,-0.2702522873878479,0.9625911712646484
%KF,time_period,x,y,z,qx,qy,qz,qw
6,3,0,0,0,0,0,0,1
6,4,0.8104705810546875,-0.9714431762695312,-0.04579877853393555,-0.01161693502217531,0.02190095186233521,-0.1156312376260757,0.992982804775238
6,5,-6.016437530517578,8.384382247924805,0.7992752194404602,-0.003819586709141731,0.01399591471999884,0.9809370040893555,0.1937837898731232
%KF,time_period,x,y,z,qx,qy,qz,qw
6,4,0,0,0,0,0,0,1
6,5,14.29844284057617,1.488692283630371,2.409687519073486,-0.01003571134060621,0.04013650119304657,0.9938968420028687,0.1022619232535362
%KF,time_period,x,y,z,qx,qy,qz,qw
5,0,0,0,0,0,0,0,1
6,0,-9.563674926757812,4.809118270874023,1.19085168838501,0.008757767267525196,0.0005797796184197068,-0.00920860655605793,0.9999191164970398
%KF,time_period,x,y,z,qx,qy,qz,qw
5,1,0,0,0,0,0,0,1
6,1,-3.547672271728516,5.267481803894043,0.2234683036804199,-0.01340910512953997,-0.0008756250608712435,0.00140908092726022,0.9999086856842041
%KF,time_period,x,y,z,qx,qy,qz,qw
5,2,0,0,0,0,0,0,1
6,2,3.562038421630859,-9.52072811126709,0.1067390441894531,0.04204576089978218,0.009407608769834042,-0.005377945024520159,0.9990569353103638
%KF,time_period,x,y,z,qx,qy,qz,qw
5,3,0,0,0,0,0,0,1
6,3,-6.293161392211914,9.526567459106445,1.381230711936951,0.01771088875830173,0.006622542627155781,0.01212811004370451,0.999747633934021
%KF,time_period,x,y,z,qx,qy,qz,qw
5,4,0,0,0,0,0,0,1
6,4,-9.613775253295898,10.37065505981445,1.345783233642578,-0.0002830659796018153,0.01546489913016558,-0.0004286793118808419,0.9998802542686462
%KF,time_period,x,y,z,qx,qy,qz,qw
5,5,0,0,0,0,0,0,1
6,5,8.228267669677734,-5.704364776611328,1.370970845222473,-0.002415715716779232,-0.007406832650303841,-0.02411422878503799,0.9996788501739502
%KF,time_period,x,y,z,qx,qy,qz,qw
7,0,0,0,0,0,0,0,1
7,1,-3.071212768554688,0.8899641036987305,0.5481305122375488,0.01307792402803898,0.02458013966679573,0.2960068583488464,0.9547799825668335
7,2,-4.357177734375,0.8104691505432129,0.6365916728973389,0.008105142042040825,-0.00453642476350069,0.9359470009803772,-0.352018415927887
7,3,-7.809005737304688,2.273561954498291,0.7376862764358521,0.004107876215130091,0.02626485005021095,0.2929320335388184,0.9557636380195618
7,4,-7.382755279541016,2.389157295227051,0.7794250249862671,-0.01703749038279057,0.02230966463685036,0.1971721053123474,0.9799668788909912
7,5,-13.20859146118164,3.904446125030518,1.192098617553711,0.01783211156725883,0.003382673719897866,0.9941309094429016,-0.1066503822803497
%KF,time_period,x,y,z,qx,qy,qz,qw
7,1,0,0,0,0,0,0,1
7,2,-0.9538154602050781,0.7572574615478516,0.06496763229370117,-0.01206488348543644,0.01420506089925766,0.9978938102722168,-0.06213397160172462
7,3,-3.216579437255859,3.765251159667969,-0.01141238212585449,-0.006320657208561897,0.002801654161885381,-0.002187318867072463,0.9999737143516541
7,4,-2.528533935546875,3.651575088500977,0.137420654296875,-0.02495795488357544,0.003253604518249631,-0.1013949811458588,0.9945278167724609
7,5,-6.489498138427734,7.80790901184082,0.1025457382202148,-0.005934975109994411,0.01141797099262476,0.9813452959060669,0.1918223202228546
%KF,time_period,x,y,z,qx,qy,qz,qw
7,2,0,0,0,0,0,0,1
7,3,1.68671989440918,-3.153867721557617,0.008292794227600098,-0.01680064760148525,0.006801533978432417,0.9977840781211853,0.0640190988779068
7,4,1.372930526733398,-3.101472854614258,0.1580468416213989,-0.01548306830227375,-0.004527213051915169,0.9867504239082336,0.1614413857460022
7,5,-3.723749160766602,-2.062997817993164,0.3218733072280884,-0.02508413977921009,-0.01370303891599178,-0.2843261659145355,0.9583014845848083
%KF,time_period,x,y,z,qx,qy,qz,qw
7,3,0,0,0,0,0,0,1
7,4,0.4937591552734375,0.07595443725585938,0.1041405200958252,-0.01328396238386631,-0.0007677978719584644,-0.09742534905672073,0.9951539039611816
7,5,-3.310443878173828,4.079385757446289,0.1956334114074707,-0.008521567098796368,0.003904035082086921,0.9819431304931641,0.1889439970254898
%KF,time_period,x,y,z,qx,qy,qz,qw
7,4,0,0,0,0,0,0,1
7,5,-4.416481018066406,3.321344375610352,0.246553897857666,-0.006439555436372757,-0.017764488235116,0.9957574009895325,0.09005681425333023
%KF,time_period,x,y,z,qx,qy,qz,qw
6,0,0,0,0,0,0,0,1
7,0,-14.37020111083984,4.569028854370117,1.03707218170166,-0.008887614123523235,-0.003511058632284403,0.009264529682695866,0.9999114274978638
%KF,time_period,x,y,z,qx,qy,qz,qw
6,1,0,0,0,0,0,0,1
7,1,-8.972137451171875,10.57152557373047,1.10701847076416,0.01431068032979965,0.002983013866469264,0.0153453117236495,0.9997754096984863
%KF,time_period,x,y,z,qx,qy,qz,qw
6,2,0,0,0,0,0,0,1
7,2,7.926026344299316,-13.86289596557617,1.497916460037231,0.003550810739398003,-0.01304521597921848,-0.01786315627396107,0.9997490644454956
%KF,time_period,x,y,z,qx,qy,qz,qw
6,3,0,0,0,0,0,0,1
7,3,-10.89487266540527,13.9953727722168,1.179849982261658,0.0003571054548956454,0.01972380094230175,-0.002116969786584377,0.9998031258583069
%KF,time_period,x,y,z,qx,qy,qz,qw
6,4,0,0,0,0,0,0,1
